"","title","employ22","employ32","med_wage","entry_educ","onjob_training"
"334","Food servers, nonrestaurant",258.6,266.6,30300,"No formal educational credential","Short-term on-the-job training"
"335","Food service managers",357.5,359.2,61310,"High school diploma or equivalent","Short-term on-the-job training"
"336","Foreign language and literature teachers, postsecondary",24.7,25,76030,"Doctoral or professional degree","None"
"337","Forensic science technicians",18.5,20.8,63740,"Bachelor's degree","Moderate-term on-the-job training"
"338","Forest and conservation technicians",31.5,31.7,41520,"Associate's degree","None"
"339","Forest and conservation workers",11.3,10.3,32270,"High school diploma or equivalent","Moderate-term on-the-job training"
"340","Forest fire inspectors and prevention specialists",2.4,2.8,48110,"High school diploma or equivalent","Moderate-term on-the-job training"
"341","Foresters",11.3,11.6,64220,"Bachelor's degree","None"
"342","Forestry and conservation science teachers, postsecondary",1.5,1.6,96500,"Doctoral or professional degree","None"
"343","Forging machine setters, operators, and tenders, metal and plastic",10.9,9.3,46540,"High school diploma or equivalent","Moderate-term on-the-job training"
"344","Foundry mold and coremakers",11.5,8.8,40120,"High school diploma or equivalent","Moderate-term on-the-job training"
"345","Fundraisers",124,130.5,61190,"Bachelor's degree","None"
"346","Fundraising managers",33.7,35.4,107390,"Bachelor's degree","None"
"347","Funeral attendants",33.2,34.2,31160,"High school diploma or equivalent","Short-term on-the-job training"
"348","Funeral home managers",36.4,37.2,72110,"Associate's degree","None"
"349","Furnace, kiln, oven, drier, and kettle operators and tenders",16.2,16.2,44530,"High school diploma or equivalent","Moderate-term on-the-job training"
"350","Furniture finishers",19.2,19.1,37960,"High school diploma or equivalent","Short-term on-the-job training"
"351","Gambling and sports book writers and runners",8.4,8.1,28940,"High school diploma or equivalent","Short-term on-the-job training"
"352","Gambling cage workers",12.2,11.5,31720,"High school diploma or equivalent","Short-term on-the-job training"
"353","Gambling change persons and booth cashiers",19.4,18.3,30010,"No formal educational credential","Short-term on-the-job training"
"354","Gambling dealers",75.6,76.4,29120,"High school diploma or equivalent","Short-term on-the-job training"
"355","Gambling managers",5.3,5.4,80710,"High school diploma or equivalent","None"
"356","Gambling service workers, all other",13.1,13.2,30350,"High school diploma or equivalent","Short-term on-the-job training"
"357","Gambling surveillance officers and gambling investigators",10.8,10.9,35970,"High school diploma or equivalent","Moderate-term on-the-job training"
"358","Gas compressor and gas pumping station operators",3.9,3.8,59990,"High school diploma or equivalent","Moderate-term on-the-job training"
"359","Gas plant operators",14.8,13,79460,"High school diploma or equivalent","Long-term on-the-job training"
"360","General and operations managers",3507.8,3655.1,98100,"Bachelor's degree","None"
"361","General internal medicine physicians",72.6,74.4,214460,"Doctoral or professional degree","Internship/residency"
"362","Genetic counselors",3.5,4,89990,"Master's degree","None"
"363","Geographers",1.5,1.5,88900,"Bachelor's degree","None"
"364","Geography teachers, postsecondary",4.1,4.3,81920,"Doctoral or professional degree","None"
"365","Geological technicians, except hydrologic technicians",9.4,9.6,48490,"Associate's degree","Moderate-term on-the-job training"
"366","Geoscientists, except hydrologists and geographers",26.3,27.6,87480,"Bachelor's degree","None"
"367","Glaziers",54.5,55.7,48720,"High school diploma or equivalent","Apprenticeship"
"368","Graders and sorters, agricultural products",30.1,28.5,32550,"No formal educational credential","Short-term on-the-job training"
"369","Graphic designers",270.9,279.8,57990,"Bachelor's degree","None"
"370","Grinding and polishing workers, hand",14.5,11.7,36960,"No formal educational credential","Moderate-term on-the-job training"
"371","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",75,67.9,38910,"High school diploma or equivalent","Moderate-term on-the-job training"
"372","Grounds maintenance workers, all other",16.3,16.6,39520,"No formal educational credential","Short-term on-the-job training"
"373","Hairdressers, hairstylists, and cosmetologists",555.8,598.6,33290,"Postsecondary nondegree award","None"
"374","Hazardous materials removal workers",48.7,49.1,46690,"High school diploma or equivalent","Moderate-term on-the-job training"
"375","Health and safety engineers, except mining safety engineers and inspectors",22,22.8,100660,"Bachelor's degree","None"
"376","Health education specialists",60.4,64.8,59990,"Bachelor's degree","None"
"377","Health information technologists and medical registrars",37.9,44.1,58250,"Associate's degree","None"
"378","Health specialties teachers, postsecondary",262.8,313,100300,"Doctoral or professional degree","None"
